element     A           errA        awt
H           12.00       0.00        1.008
He          10.93       0.01        4.0026
Li           1.05       0.10        6.939
Be           1.38       0.09        9.0122
B            2.70       0.20        10.811
C            8.43       0.06        12.0111
N            7.83       0.05        14.0067
O            8.69       0.05        15.9994
Ne           7.93       0.10        20.179
Na           6.24       0.04        22.9898
Mg           7.60       0.04        24.305
Al           6.45       0.03        26.9815
Si           7.51       0.03        28.086
P            5.41       0.03        30.9738
S            7.12       0.03        32.06
Cl           5.50       0.30        35.453
Ar           6.40       0.13        39.948
Ca           6.34       0.04        40.08
Ti           4.95       0.05        47.9
Cr           5.64       0.04        51.996
Mn           5.43       0.04        54.938
Fe           7.50       0.04        55.847
Ni           6.22       0.04        58.71
