element    A            errA        awt
H           12.00       0.00        1.008
He         10.914       0.013       4.0026
Li           0.96       0.06        6.939
Be           1.38       0.09        9.0122
B            2.70       0.20        10.811
C            8.46       0.04        12.0111
N            7.83       0.07        14.0067
O            8.69       0.04        15.9994
Ne           8.06       0.05        20.179
Na           6.22       0.03        22.9898
Mg           7.55       0.03        24.305
Al           6.43       0.03        26.9815
Si           7.51       0.03        28.086
P            5.41       0.03        30.9738
S            7.12       0.03        32.06
Cl           5.31       0.20        35.453
Ar           6.38       0.10        39.948
Ca           6.30       0.03        40.08
Ti           4.97       0.05        47.9
Cr           5.62       0.04        51.996
Mn           5.42       0.06        54.938
Fe           7.46       0.04        55.847
Ni           6.20       0.04        58.71
